moca_id,tribe,moca_xp,wallet,week
2884,angel,54.4,0x87f4c743c2a1323a88855f2db61ec1eea651ca2e,5
6614,angel,63.2,0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,5
6413,angel,56.0,0x9022925256fc6a2d18e56bd2d28f5c1d66573727,5
2036,angel,40.0,0x9076d31f81512e040cc07cfe2031cf251236a741,5
5589,angel,56.0,0x928d76060576697e56221ba0d1b04015934e4fd9,5
5124,angel,16.0,0x9326a94de5cb1517f99fb03c8e89783aa005328d,5
4715,angel,16.0,0x8202d20d5806bc6c860344800e2c829d10278d66,5
5137,angel,54.4,0x957a846b8d884230fedfd035eab11db6a2c02165,5
5175,angel,70.4,0x95b61beb8bb3f8b473c420f3355762808f09d828,5
5610,angel,70.4,0x95b61beb8bb3f8b473c420f3355762808f09d828,5
4936,angel,70.4,0x973957d96657521ea8c00b024167944c6e7031f3,5
4978,angel,70.4,0x973957d96657521ea8c00b024167944c6e7031f3,5
3432,angel,70.4,0x973957d96657521ea8c00b024167944c6e7031f3,5
6285,angel,70.4,0x973957d96657521ea8c00b024167944c6e7031f3,5
5195,angel,56.0,0x97b4b4ac02486ce8b5327b8d86b3688d49b9663d,5
5196,angel,56.0,0x97b4b4ac02486ce8b5327b8d86b3688d49b9663d,5
3367,angel,54.4,0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,5
4252,angel,54.4,0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,5
2097,angel,54.4,0x522562cbdb0ecfdbb331f5e753a0300b993618c7,5
2866,angel,54.4,0x522562cbdb0ecfdbb331f5e753a0300b993618c7,5
6525,angel,63.2,0x554d0c1f3e79b80fa41f9be17d6406d934f76427,5
2206,angel,41.6,0x46c6b56ec3815c15ebbd9e0a5a17996bc9db2ccf,5
1077,angel,46.4,0xaa87190076675da8d3496da24b0c3bbfa1e56396,5
960,angel,24.0,0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,5
2198,angel,52.0,0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,5
1762,angel,56.0,0xad990b2d8f63cef4de48d9b685c3a712b621be3e,5
3690,angel,40.0,0xadc9a18966fa61a42687d32a6ad3936d67f06394,5
1258,angel,42.4,0xae5252b7d6603af2fa284e565a11e3175ef84a9c,5
6524,angel,56.0,0xb08b9f29edfd8feed9a6f1c23db3d7ffe9bc89f9,5
6423,angel,70.4,0x985354a689a962c28bc171567082d7092afd80c0,5
6424,angel,70.4,0x985354a689a962c28bc171567082d7092afd80c0,5
6435,angel,70.4,0x985354a689a962c28bc171567082d7092afd80c0,5
6436,angel,70.4,0x985354a689a962c28bc171567082d7092afd80c0,5
2095,angel,56.0,0xb1715ae529c8cc640380861aafb65b5cf30e63be,5
5399,angel,56.0,0xb2cba1e110ec3fe2f8a258cc67d606216c9f900e,5
5400,angel,56.0,0xb2cba1e110ec3fe2f8a258cc67d606216c9f900e,5
5512,angel,60.8,0xb2e7f7044a94dd0f9dca56f2e402355d0a0d60e4,5
990,angel,42.4,0xb4ad1b4ab790c5ef71698a73febdd6421dd25261,5
3365,angel,58.4,0xb4ad1b4ab790c5ef71698a73febdd6421dd25261,5
4405,angel,42.4,0xb4ad1b4ab790c5ef71698a73febdd6421dd25261,5
1273,angel,56.0,0xb7162dd79c1f0802d1b4826ac06dad4359bc3aa2,5
4216,angel,70.4,0xb87c35476dd9f6b39840583fe42da483b2af9e5b,5
5041,angel,70.4,0xb88c8ee3bd560bbd68ad80e0cdb9db8c10679889,5
3122,angel,70.4,0xb88c8ee3bd560bbd68ad80e0cdb9db8c10679889,5
4869,angel,56.0,0xb8c39ba5309443ab4920b834790457a62c47fa35,5
4870,angel,56.0,0xb8c39ba5309443ab4920b834790457a62c47fa35,5
1330,angel,43.2,0xba943f9a82e378eac5c33bbc92263e82ee64f50b,5
5940,angel,24.0,0xbaac3d38261adf7f25483443cf2381c17ab23bfd,5
2166,angel,58.4,0x5f447199987971edb01e358cf67f390df9e75237,5
2167,angel,58.4,0x5f447199987971edb01e358cf67f390df9e75237,5
3194,angel,54.4,0x92373997819b0e4529be7988eea4bedd4d276f74,5
