wallet,moca_id,moca_xp
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,1511,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,1990,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,4124,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,4845,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,5592,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,5793,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,5850,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,6093,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,6228,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,6232,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,6233,16
0xbd1cc7c77fc8e1171c2f0666835e1dcb8462ae68,1041,16
0xbd1cc7c77fc8e1171c2f0666835e1dcb8462ae68,1042,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,1949,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,2531,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,2532,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,2574,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,2575,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,2809,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,2810,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,2916,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3015,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3016,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3041,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3042,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3087,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3088,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3142,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3143,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3156,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3157,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3226,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3227,16
